House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Regentchain Avenue,Ashleigh,Dale,41,Head,Divorced,Female,Field trials officer,None,Catholic
1,Regentchain Avenue,Deborah,Dale,11,Daughter,NA,Female,Student,None,NA
1,Regentchain Avenue,Gary,Dale,7,Son,NA,Male,Student,None,NA
2,Regentchain Avenue,Edward,Grant,40,Head,Married,Male,Environmental education officer,None,Methodist
2,Regentchain Avenue,Elizabeth,Grant,35,Wife,Married,Female,Public librarian,None,Catholic
2,Regentchain Avenue,Catherine,Grant,19,Daughter,Single,Female,University Student,None,None
2,Regentchain Avenue,Mandy,Grant,17,Daughter,NA,Female,Student,None,NA
2,Regentchain Avenue,Amanda,Grant,11,Daughter,NA,Female,Student,None,NA
3,Regentchain Avenue,Hayley,Hall,60,Head,Married,Female,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
3,Regentchain Avenue,Matthew,Hall,62,Husband,Married,Male,Arts development officer,None,Christian
3,Regentchain Avenue,Toby,Hall,30,Son,Single,Male,Unemployed,None,Christian
4,Regentchain Avenue,Josephine,Price,42,Head,Married,Female,Physiological scientist,None,None
4,Regentchain Avenue,Dylan,Price,46,Husband,Married,Male,Site engineer,None,None
4,Regentchain Avenue,Ashley,Price,19,Son,Single,Male,University Student,None,None
4,Regentchain Avenue,Sandra,Price,4,Daughter,NA,Female,Child,None,NA
5,Regentchain Avenue,Danielle,Dean,78,Head,Married,Female,Retired Community education officer,None,None
5,Regentchain Avenue,Robert,Dean,81,Husband,Married,Male,"Retired Doctor, hospital",None,None
5,Regentchain Avenue,Paula,Dean,43,Daughter,Single,Female,Equality and diversity officer,None,None
6,Regentchain Avenue,Fiona,Taylor,44,Head,Single,Female,"Surveyor, building",None,Catholic
6,Regentchain Avenue,Bethan,Stevenson,24,None,Single,Female,Contracting civil engineer,None,None
6,Regentchain Avenue,Douglas,Austin,30,None,Single,Male,"Surveyor, building",None,None
6,Regentchain Avenue,Brian,Miles,57,None,Divorced,Male,"Editor, film/video",None,Christian
6,Regentchain Avenue,Leigh,Johnson,53,None,Single,Male,Hospital doctor,None,Christian
6,Regentchain Avenue,Jodie,Elliott,43,None,Single,Female,"Engineer, civil (consulting)",None,None
6,Regentchain Avenue,Donald,Cooper,19,None,Single,Male,University Student,None,Catholic
7,Regentchain Avenue,Wendy,Webster,35,Head,Married,Female,"Engineer, manufacturing",None,Methodist
7,Regentchain Avenue,Glenn,Webster,32,Husband,Married,Male,Sports therapist,None,Methodist
7,Regentchain Avenue,Leon,Webster,12,Son,NA,Male,Student,None,NA
7,Regentchain Avenue,Gregory,Stone,9,Son,NA,Male,Student,None,NA
8,Regentchain Avenue,Leon,Duncan,85,Head,Widowed,Male,Retired Surgeon,None,Christian
1,Telegraphnet Street,Geraldine,Jones,58,Head,Married,Female,Fish farm manager,None,None
1,Telegraphnet Street,Karl,Jones,59,Husband,Married,Male,Hydrographic surveyor,None,None
1,Telegraphnet Street,Arthur,Long,30,Son,Single,Male,Unemployed,None,None
1,Telegraphnet Street,Anne,Long,26,Daughter,Single,Female,Unemployed,None,None
2,Telegraphnet Street,Leah,Taylor,90,Head,Married,Female,Retired Landscape architect,None,Catholic
2,Telegraphnet Street,Craig,Taylor,97,Husband,Married,Male,"Retired Engineer, civil (consulting)",None,Catholic
3,Telegraphnet Street,Heather,Cross,60,Head,Single,Female,Furniture conservator/restorer,None,Catholic
3,Telegraphnet Street,Kieran,Wall,63,Partner,Single,Male,Actor,None,Catholic
4,Telegraphnet Street,Sophie,Williams,46,Head,Divorced,Female,"Engineer, manufacturing systems",None,Christian
4,Telegraphnet Street,James,Williams,19,Son,Single,Male,Human resources officer,None,None
4,Telegraphnet Street,Jasmine,Williams,18,Daughter,Single,Female,Student,None,Christian
4,Telegraphnet Street,Lisa,Williams,15,Daughter,NA,Female,Student,None,NA
4,Telegraphnet Street,Linda,Williams,10,Daughter,NA,Female,Student,None,NA
5,Telegraphnet Street,Bethan,Taylor,47,Head,Single,Female,Broadcast journalist,None,None
5,Telegraphnet Street,Simon,Taylor,16,Son,NA,Male,Student,None,NA
5,Telegraphnet Street,Kathryn,Taylor,13,Daughter,NA,Female,Student,None,NA
